49,73,120,166,122593.532992775,230995.899624443,633.455,6699852.39917758,17875.8543653521
79,67,136,143,157862.440043384,851262.193998698,15997.7203575223,5379891.36098387,109802.140607535
45,80,140,179,95988.2655887708,1343234.84446033,57406.7745757596,11204051.4299752,17356.1215571484
55,68,161,189,174351.723658581,396764.086751206,174863.45772251,6724771.14189428,46032.6615841966
24,80,130,213,117937.05572141,889289.422386332,15350.6286015954,25812675.9690733,10937.30999321
33,69,140,151,169593.793326838,149600.450467934,62525.4807724526,7048122.47716537,15415.2733825969
68,61,120,112,205181.504762667,415533.204093258,11773.0765512497,5844608.38641429,45431.3514164161
82,74,150,129,155747.417370506,607380.199436337,22763.0418315484,7223789.97424727,34804.1440335265
39,72,140,255,169043.069241772,402993.381915684,22908.1296575613,7491142.11159805,67059.5218669561
89,57,125,128,236327.712368632,306053.538961707,14663.3039353887,6125050.09737815,49444.8274296334
63,67,150,228,128660.959836526,291690.132030115,74627.2566063787,11088728.6834655,85777.344688193
32,81,130,139,100640.890407532,1359419.64216626,14842.3178507034,19113240.4929283,30405.9548809551
71,73,134,124,116801.604027767,1006673.57950117,25691.0331880168,10550620.8944163,25021.1142261429
49,76,132,193,188376.8799069,302791.413443628,19550.481274169,4568064.50395472,24475.0967329647
77,63,140,182,122766.347925163,444256.658142739,55185.2455632742,5303902.93813285,30015.1584174168
45,69,110,135,41333.9914454225,659763.730542128,1815.21875865976,15201088.5214681,12016.4568111666
49,74,128,255,159657.652895281,542208.736467595,2710.6678343873,17827537.6326573,14548.5666858367
72,66,102,205,174197.396530066,370526.240844454,15743.7668090411,4929302.23055673,28494.1124857734
28,75,120,174,193819.546188262,250322.368800414,171683.467249181,7445346.74329042,88884.2706459044
97,65,130,205,187826.047216709,360698.387182239,10001.047995772,4024973.87096515,55716.226691731
40,70,130,182,114078.699363341,327683.997851937,152879.068023328,17452189.5648868,26309.489386673
31,80,130,259,141418.118989423,838267.752837932,12364.8668454894,18371661.7360789,9481.82497614338
58,55,120,166,112254.617857557,723519.392701989,32768.7430418843,8035217.18691553,43288.9004923548
49,63,150,112,84916.8919714661,232511.151363221,4055.82551379992,11746890.5331073,19059.5153264368
69,66,140,189,155589.377212551,639838.911901545,15097.0866239608,6571657.24794523,48086.426711467
26,85,140,143,133314.855200627,1051053.01930263,17556.6893099926,23844100.8966283,19817.1748562573
84,70,123,193,95530.4791133185,1112116.95830641,13905.6934807651,9262244.12102136,16650.1126678715
55,65,140,232,134385.350823196,519511.677659594,48486.091285647,10318952.2816,45326.9562695691
45,56,120,205,124473.900408989,708684.795153211,37543.2006277401,8000119.95681798,34012.59274414
74,60,120,155,114776.786081875,311533.895034454,100250.534923875,9598244.53661836,87314.168286575
78,67,139,135,75631.7654752244,306040.314830407,53240.134642421,8728017.03400194,25194.3813294925
51,78,145,173,219790.118785634,247102.78796381,22037.8807773817,19976230.0277757,22573.8994660115
86,61,126,131,123427.644732246,464574.251098091,1882.69706613315,5019035.71019621,80143.864140205
48,70,130,104,184748.531456489,492562.545369044,6032.32083844729,13246357.8302054,12631.0998479196
37,71,127,135,206358.43889341,2093344.21162146,76372.7184916626,8636255.44319375,36226.5264417369
78,77,127,178,88858.4990199142,359907.420223224,43547.8325971869,7267456.32921968,22870.0745355567
33,67,120,197,137965.185776005,204965.732658188,76199.4336161198,5484485.0206458,27397.7659271935
86,69,156,186,129396.071949732,1520510.51646231,25670.089193306,11709219.2323381,24191.6709024304
86,68,140,159,139491.814150997,624549.662988421,14957.7436177943,5375889.98695721,88962.6476080403
41,68,130,139,188018.140072002,298340.798851487,78299.6946468642,7553702.60498781,16852.313077096
36,78,150,159,122117.631285999,882660.749051931,12876.7555440778,17734391.9788743,38145.8980105627
53,71,115,131,37748.154156212,353127.033911922,633.455,16246160.7014041,42405.3808706285
81,69,120,128,134625.026755144,790076.056342485,20133.0185043904,5829568.61504629,86320.363599045
67,71,130,166,125013.16992073,212007.1598044,2299.95037624003,6388316.05845867,18300.8860969316
28,74,120,162,151735.71716057,212145.423088934,115184.312549651,6570332.88187876,74282.4252546112
28,71,130,182,129187.619414392,297420.575453,148378.158389979,17813460.6557636,72913.6209948122
41,69,120,108,73316.2839153535,363335.555370606,44491.5273729724,7667067.13408189,27539.3137161816
64,73,147,120,162319.080572403,302972.431449291,31199.9665882653,10003324.2234,22037.241994187
66,76,135,130,148285.508955337,327894.105604106,15463.2522006623,7704226.97370211,19018.7795329637
