ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum
PLS,PLSNNPaper,TR,14.3975701870686,0.695652171392565,0.309734510533323,0.963190178139938,1.27292468867326
NN,PLSNNPaper,TR,13.3339416016234,0.695652163831128,0.562499982421876,0.810810788897006,1.37331077131888
