ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp3,TG,18.0127537287625,0.653846153846154,0,1,1,4,na,na,52,4,0,0
NN,Exp3,TG,18.115296121605,0.846153846153846,0.555555555555556,1,1.55555555555556,4,true,false,52,2,40,50
