ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp3,TR,18.9033427018743,0.588447653429603,0,1,1,4,na,na,277,4,0,0
NN,Exp3,TR,16.275255429798,0.703971119133574,0.280701754385965,1,1.28070175438596,4,true,false,277,2,40,1
