ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp3,TS,13.940141983979,0.679611650485437,0,1,1,4,na,na,103,4,0,0
NN,Exp3,TS,10.6091478076358,0.796116504854369,0.393939393939394,0.985714285714286,1.37965367965368,4,true,false,103,2,40,50
