ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp2,TM,13.981959303306,0.6875,0.259259259259259,1,1.25925925925926,9,na,na,64,9,0,0
NN,Exp2,TM,25.9185659972046,0.984375,1,0.972972972972973,1.97297297297297,9,true,false,64,2,55,80
