ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp2,TG,18.5465855939854,0.788461538461538,0.388888888888889,1,1.38888888888889,9,na,na,52,9,0,0
NN,Exp2,TG,19.4375718634924,0.846153846153846,0.555555555555556,1,1.55555555555556,9,true,false,52,2,55,80
