ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum
PLS,Exp2,TR,12.9260860374758,0.692028982999895,0.300884953089514,0.963190178139938,1.26407513122945
NN,Exp2,TR,12.9871294244049,0.779411753243945,0.499999979166667,0.931818160640496,1.43181813980716
