ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp2,TG,18.5465855939854,0.788461538461538,0.388888888888889,1,1.38888888888889,9,na,na,52,9,0,0
NN,Exp2,TG,20.1904196719091,1,1,1,2,9,true,false,52,2,55,80
