ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp2,TS,26.1214763017235,0.701923076923077,0.0606060606060606,1,1.06060606060606,9,na,na,104,9,0,0
NN,Exp2,TS,17.4191557880531,0.846153846153846,0.515151515151515,1,1.51515151515152,9,true,false,104,2,55,80
