TID,VAR,TRP,VAL,TRF,GRD
DC123112312,TC,RM,1,RG,
DC123112312,TC,RS,1,RG,
DC123112313,TC,R,1,RG,
DC123112313,TC,RG,1,RG,
DC123112313,TC,RM,1,RG,
DC123112313,TC,RS,1,RG,
DC123613861,TC,R,0,R,1.0
DC123613861,TC,RG,0,R,
DC123613861,TC,RM,0,R,
DC123613861,TC,RS,0,R,
DC123613862,TC,R,0,R,1.0
DC123613862,TC,RG,0,R,
DC123613862,TC,RM,0,R,
DC123613862,TC,RS,0,R,
DC123613863,TC,R,1,R,0.0
DC123613863,TC,RG,1,R,
DC123613863,TC,RM,1,R,
DC123613863,TC,RS,1,R,
DC123613864,TC,R,1,R,
DC123613864,TC,RG,1,R,
DC123613864,TC,RM,1,R,
DC123613864,TC,RS,1,R,
DC125813371,TC,R,0,R,0.0
DC125813371,TC,RG,0,R,
DC125813371,TC,RM,0,R,
DC125813371,TC,RS,0,R,
DC125813372,TC,R,0,R,0.0
DC125813372,TC,RG,0,R,
DC125813372,TC,RM,0,R,
DC125813372,TC,RS,0,R,
DC125813373,TC,R,0,R,0.0
DC125813373,TC,RG,0,R,
DC125813373,TC,RM,0,R,
DC125813373,TC,RS,0,R,
DC125813374,TC,R,1,R,
DC125813374,TC,RG,1,R,
DC125813374,TC,RM,1,R,
DC125813374,TC,RS,1,R,
DC125913021,TC,R,1,R,1.0
DC125913021,TC,RG,1,R,
DC125913021,TC,RM,1,R,
DC125913021,TC,RS,1,R,
DC125913022,TC,R,1,R,0.0
DC125913022,TC,RG,1,R,
DC125913022,TC,RM,1,R,
DC125913022,TC,RS,1,R,
DC125913023,TC,R,0,R,1.0
DC125913023,TC,RG,0,R,
DC125913023,TC,RM,0,R,
DC125913023,TC,RS,0,R,
DC125913024,TC,R,1,R,
DC125913024,TC,RG,1,R,
DC125913024,TC,RM,1,R,
DC125913024,TC,RS,1,R,
DC128210041,TC,R,1,RS,
DC128210041,TC,RG,1,RS,
DC128210041,TC,RM,1,RS,
DC128210041,TC,RS,1,RS,0.0
DC128210042,TC,R,0,RS,
DC128210042,TC,RG,0,RS,
DC128210042,TC,RM,0,RS,
DC128210042,TC,RS,0,RS,0.0
DC128210043,TC,R,0,RS,
DC128210043,TC,RG,0,RS,
DC128210043,TC,RM,0,RS,
DC128210043,TC,RS,0,RS,
DC130411561,TC,R,0,R,1.0
DC130411561,TC,RG,0,R,
DC130411561,TC,RM,0,R,
DC130411561,TC,RS,0,R,
DC130411562,TC,R,1,RM,
DC130411562,TC,RG,1,RM,
DC130411562,TC,RM,1,RM,
DC130411562,TC,RS,1,RM,
DC130810501,TC,R,1,R,0.0
DC130810501,TC,RG,1,R,
DC130810501,TC,RM,1,R,
DC130810501,TC,RS,1,R,
DC130810502,TC,R,0,RS,
DC130810502,TC,RG,0,RS,
DC130810502,TC,RM,0,RS,
DC130810502,TC,RS,0,RS,
DC133214271,TC,R,0,R,1.0
DC133214271,TC,RG,0,R,
DC133214271,TC,RM,0,R,
DC133214271,TC,RS,0,R,
