TID,VAR,TRP,VAL,TRF,GRD
DC111113742,EGFR,RS,44.28781292889569,R,
DC111113742,TC,RM,0.0,R,
DC111113742,DEGFR,RM,-0.0836299073462392,R,
DC111113742,EGFR,RM,46.734875,R,
DC111113743,TC,R,0.0,R,1.0
DC111113743,DEGFR,R,-0.0374744317574123,R,-17.647058823529413
DC111113743,EGFR,R,49.08880398037197,R,42.0
DC111113743,TC,RS,0.0,R,
DC111113743,DEGFR,RS,-0.079534236501624,R,
DC111113743,EGFR,RS,46.94375393841717,R,
DC111113743,TC,RM,0.0,R,
DC111113743,DEGFR,RM,-0.0301352856205958,R,
DC111113743,EGFR,RM,49.4631,R,
DC111113744,TC,R,0.0,R,
DC111113744,DEGFR,R,0.0690518175057206,R,
DC111113744,EGFR,R,44.90017633524027,R,
DC111113744,TC,RS,0.0,R,
DC111113744,DEGFR,RS,-0.0342943738939832,R,
DC111113744,EGFR,RS,40.5596362964527,R,
DC111113744,TC,RM,0.0,R,
DC111113744,DEGFR,RM,0.0253602890741257,R,
DC111113744,EGFR,RM,43.065132,R,
DC111911331,TC,R,0.0,RG,
DC111911331,DEGFR,R,-0.0891230738609167,RG,
DC111911331,EGFR,R,74.69190794340483,RG,
DC111911331,TC,RS,0.0,RG,
DC111911331,DEGFR,RS,-0.0823491565265961,RG,
DC111911331,EGFR,RS,75.24736916481912,RG,
DC111911331,TC,RM,0.0,RG,
DC111911331,DEGFR,RM,-0.035691144989758,RG,
DC111911331,EGFR,RM,79.073326,RG,
DC111911332,TC,R,1.0,RG,
DC111911332,DEGFR,R,-0.1671118720748819,RG,
DC111911332,EGFR,R,71.62837900156015,RG,
DC111911332,TC,RS,0.0,RG,
DC111911332,DEGFR,RS,-0.0918253145951184,RG,
DC111911332,EGFR,RS,78.10302294481981,RG,
DC111911332,TC,RM,0.0,RG,
DC111911332,DEGFR,RM,-0.0297185321186864,RG,
DC111911332,EGFR,RM,83.44421,RG,
DC111911333,TC,R,0.0,RG,
DC111911333,DEGFR,R,0.098111030396266,RG,
DC111911333,EGFR,R,80.16210521892742,RG,
DC111911333,TC,RS,0.0,RG,
DC111911333,DEGFR,RS,-0.0431968371661875,RG,
DC111911333,EGFR,RS,69.84663088686831,RG,
DC111911333,TC,RM,0.0,RG,
DC111911333,DEGFR,RM,0.0390907183085402,RG,
DC111911333,EGFR,RM,75.85362,RG,
DC111911334,TC,R,0.0,RG,
DC111911334,DEGFR,R,-0.0551451074543845,RG,
DC111911334,EGFR,R,71.80897183346677,RG,
DC111911334,TC,RS,0.0,RG,
DC111911334,DEGFR,RS,0.0046301181986751,RG,
DC111911334,EGFR,RS,76.35188898309931,RG,
DC111911334,TC,RM,0.0,RG,
DC111911334,DEGFR,RM,-0.0565723619962993,RG,
DC111911334,EGFR,RM,71.7005,RG,
DC111911335,TC,R,1.0,RG,
DC111911335,DEGFR,R,-0.1739574869389991,RG,
DC111911335,EGFR,R,77.64799622773408,RG,
DC111911335,TC,RS,0.0,RG,
DC111911335,DEGFR,RS,-0.0802446789089829,RG,
DC111911335,EGFR,RS,86.4570001825556,RG,
DC111911335,TC,RM,0.0,RG,
DC111911335,DEGFR,RM,-0.0085935389741938,RG,
DC111911335,EGFR,RM,93.19221,RG,
DC111911336,TC,R,1.0,RG,
DC111911336,DEGFR,R,-0.1038330781822908,RG,
DC111911336,EGFR,R,62.73168452723964,RG,
DC111911336,TC,RS,0.0,RG,
DC111911336,DEGFR,RS,-0.078003320485315,RG,
DC111911336,EGFR,RS,64.53976756602795,RG,
DC111911336,TC,RM,0.0,RG,
DC111911336,DEGFR,RM,0.0106640407017299,RG,
DC111911336,EGFR,RM,70.74648,RG,
DC112511051,TC,R,0.0,R,1.0
DC112511051,DEGFR,R,-0.0703619322729429,R,-23.07692307692308
DC112511051,EGFR,R,72.51176928271045,R,60.0
DC112511051,TC,RS,0.0,R,
DC112511051,DEGFR,RS,-0.0397614778451265,R,
DC112511051,EGFR,RS,74.89860472808013,R,
DC112511051,TC,RM,0.0,R,
DC112511051,DEGFR,RM,-0.0645744128104967,R,
DC112511051,EGFR,RM,72.963196,R,
DC112511052,TC,R,0.0,RG,
DC112511052,DEGFR,R,0.0841225964887006,RG,
DC112511052,EGFR,R,65.04735578932204,RG,
DC112511052,TC,RS,0.0,RG,
DC112511052,DEGFR,RS,0.0039986017588023,RG,
DC112511052,EGFR,RS,60.23991610552814,RG,
DC112511052,TC,RM,0.0,RG,
DC112511052,DEGFR,RM,-0.0271931330362955,RG,
DC112511052,EGFR,RM,58.368412,RG,
DC112511053,TC,R,1.0,RG,
DC112511053,DEGFR,R,-0.1515118364099267,RG,
DC112511053,EGFR,R,61.09114777848527,RG,
DC112511053,TC,RS,0.0,RG,
DC112511053,DEGFR,RS,-0.0732314278771569,RG,
DC112511053,EGFR,RS,66.7273371928447,RG,
DC112511053,TC,RM,1.0,RG,
DC112511053,DEGFR,RM,-0.1200540860493977,RG,
DC112511053,EGFR,RM,63.356106,RG,
DC112511941,TC,R,0.0,RS,
DC112511941,DEGFR,R,-0.0689388936924642,RS,
DC112511941,EGFR,R,60.51897190998982,RS,
DC112511941,TC,RS,1.0,RS,0.0
DC112511941,DEGFR,RS,-0.1012094234643673,RS,3.076923076923077
DC112511941,EGFR,RS,58.42138747481612,RS,67.0
DC112511941,TC,RM,0.0,RS,
DC112511941,DEGFR,RM,-0.0683572622445913,RS,
DC112511941,EGFR,RM,60.556778,RS,
DC112511942,TC,R,1.0,RS,
DC112511942,DEGFR,R,-0.1298784565195735,RS,
DC112511942,EGFR,R,58.298143413188576,RS,
DC112511942,TC,RS,1.0,RS,1.0
DC112511942,DEGFR,RS,-0.1075544527850677,RS,-26.86567164179105
DC112511942,EGFR,RS,59.79385166340046,RS,49.0
DC112511942,TC,RM,1.0,RS,
DC112511942,DEGFR,RM,-0.1017079139823344,RS,
DC112511942,EGFR,RM,60.18557,RS,
DC112511943,TC,R,0.0,RS,
DC112511943,DEGFR,R,0.1407769102833102,RS,
DC112511943,EGFR,R,55.8980686038822,RS,
DC112511943,TC,RS,0.0,RS,
DC112511943,DEGFR,RS,-0.0050418479934863,RS,
DC112511943,EGFR,RS,48.75294944831917,RS,
DC112511943,TC,RM,0.0,RS,
DC112511943,DEGFR,RM,0.0186102730887276,RS,
DC112511943,EGFR,RM,49.911903,RS,
DC119110451,TC,R,0.0,RS,
DC119110451,DEGFR,R,-0.0185993476128389,RS,
DC119110451,EGFR,R,69.67944631948843,RS,
DC119110451,TC,RS,1.0,RS,0.0
DC119110451,DEGFR,RS,-0.1145525137159881,RS,33.80281690140845
DC119110451,EGFR,RS,62.86677152616484,RS,95.0
DC119110451,TC,RM,0.0,RS,
DC119110451,DEGFR,RM,-0.0576745691433758,RS,
DC119110451,EGFR,RM,66.905106,RS,
DC119110452,TC,R,1.0,RS,
DC119110452,DEGFR,R,-0.2836976547084451,RS,
DC119110452,EGFR,R,68.04872280269771,RS,
DC119110452,TC,RS,1.0,RS,1.0
DC119110452,DEGFR,RS,-0.1331828877506464,RS,-18.94736842105263
DC119110452,EGFR,RS,82.34762566368859,RS,77.0
DC119110452,TC,RM,1.0,RS,
DC119110452,DEGFR,RM,-0.130731201171875,RS,
DC119110452,EGFR,RM,82.580536,RS,
DC119110453,TC,R,1.0,RS,
DC119110453,DEGFR,R,-0.2106114087994275,RS,
DC119110453,EGFR,R,60.78292152244408,RS,
DC119110453,TC,RS,1.0,RS,1.0
DC119110453,DEGFR,RS,-0.1685515707579916,RS,-29.87012987012987
DC119110453,EGFR,RS,64.02152905163464,RS,54.0
DC119110453,TC,RM,1.0,RS,
DC119110453,DEGFR,RM,-0.1384513161399147,RS,
DC119110453,EGFR,RM,66.33925,RS,
DC119110454,TC,R,0.0,RS,
DC119110454,DEGFR,R,-0.0665020672527996,RS,
DC119110454,EGFR,R,50.40888836834882,RS,
DC119110454,TC,RS,1.0,RS,
DC119110454,DEGFR,RS,-0.1341232857307992,RS,
DC119110454,EGFR,RS,46.75734257053684,RS,
DC119110454,TC,RM,1.0,RS,
DC119110454,DEGFR,RM,-0.1138993015995732,RS,
DC119110454,EGFR,RM,47.849438,RS,
DC121910891,TC,R,0.0,R,0.0
DC121910891,DEGFR,R,0.1292170678404736,R,1.96078431372549
DC121910891,EGFR,R,57.59007045986416,R,52.0
DC121910891,TC,RS,0.0,R,
DC121910891,DEGFR,RS,-0.0270017412647597,R,
DC121910891,EGFR,RS,49.62291119549725,R,
DC121910891,TC,RM,0.0,R,
DC121910891,DEGFR,RM,0.0500527924182368,R,
DC121910891,EGFR,RM,53.552692,R,
DC121910892,TC,R,0.0,RS,
DC121910892,DEGFR,R,0.0554059467240771,RS,
DC121910892,EGFR,R,54.88110922965201,RS,
DC121910892,TC,RS,0.0,RS,0.0
DC121910892,DEGFR,RS,-0.0419818761855962,RS,13.461538461538462
