ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum
PLS,PLSNNPaper,TS,8.85141588193278,0.794117639273357,0.424242411386594,0.97101447868095,1.39525689006754
NN,PLSNNPaper,TS,30.843656635963,0.864406765010055,0.799999960000002,0.897435874424721,1.69743583442472
