ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp3,TM,20.8890230855839,0.578125,0,1,1,4,na,na,64,4,0,0
NN,Exp3,TM,20.769637442036,0.703125,0.333333333333333,0.972972972972973,1.30630630630631,4,true,false,64,2,40,20
