ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp2,TM,13.981959303306,0.6875,0.259259259259259,1,1.25925925925926,9,na,na,64,9,0,0
NN,Exp2,TM,18.620591004761,0.8125,0.555555555555556,1,1.55555555555556,9,true,false,64,2,55,80
