ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp2,TS,23.1050422342466,0.70873786407767,0.0909090909090909,1,1.09090909090909,9,na,na,103,9,0,0
NN,Exp2,TS,9.64336748218786,0.776699029126214,0.303030303030303,1,1.3030303030303,9,true,false,103,2,55,80
