ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum
PLS,Exp2,TM,11.0448644022471,0.781249987792969,0.629629606310015,0.891891867786706,1.52152147409672
NN,Exp2,TM,12.4056375316529,0.866666652222222,0.772727237603307,0.921052607340721,1.69377984494403
