ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum
PLS,Exp2,TG,16.8361605022584,0.846153829881657,0.666666629629632,0.941176442906575,1.60784307253621
NN,Exp2,TG,39.9745226520625,0.9199999816,0.928571362244903,0.916666641203704,1.84523800344861
