ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum
PLS,Exp2,TS,7.59656628833298,0.794117639273357,0.45454544077135,0.956521725267801,1.41106716603915
NN,Exp2,TS,7.33772489772273,0.931034466706302,0.812499949218753,0.976190452947846,1.7886904021666
