TID,VAR,TRP,VAL,TRF,GRD
80447311,TC,R,0.0,,
80447311,DEGFR,R,0.0554923398358684,,
80447311,EGFR,R,75.99544846818253,,
80447311,TC,RS,0.0,,
80447311,DEGFR,RS,-0.0017178280575497,,
80447311,EGFR,RS,71.87631637985642,,
80447311,TC,RM,0.0,,
80447311,DEGFR,RM,0.0096882714165581,,
80447311,EGFR,RM,72.697556,,
80133111,TC,R,1.0,RG,
80133111,DEGFR,R,-0.1660711583432492,RG,
80133111,EGFR,R,60.04287659928605,RG,
80133111,TC,RS,0.0,RG,
80133111,DEGFR,RS,-0.0766271442264407,RG,
80133111,EGFR,RS,66.48284561569626,RG,
80133111,TC,RM,0.0,RG,
80133111,DEGFR,RM,-0.0631483925713433,RG,
80133111,EGFR,RM,67.453316,RG,
80418512,TC,R,1.0,RSG,
80418512,DEGFR,R,-0.1176903747172378,RSG,
80418512,EGFR,R,49.40933901583468,RSG,
80418512,TC,RS,1.0,RSG,
80418512,DEGFR,RS,-0.1035202528365637,RSG,
80418512,EGFR,RS,50.20286584115243,RSG,
80418512,TC,RM,0.0,RSG,
80418512,DEGFR,RM,-0.0867088181631905,RSG,
80418512,EGFR,RM,51.144306,RSG,
80165112,TC,R,1.0,RG,
80165112,DEGFR,R,-0.2168712875625869,RG,
80165112,EGFR,R,42.2889504716203,RG,
80165112,TC,RS,1.0,RG,
80165112,DEGFR,RS,-0.116667442970925,RG,
80165112,EGFR,RS,47.699958079570045,RG,
80165112,TC,RM,1.0,RG,
80165112,DEGFR,RM,-0.1544248792860243,RG,
80165112,EGFR,RM,45.661057,RG,
80183011,TC,R,1.0,RG,
80183011,DEGFR,R,-0.3273182074024359,RG,
80183011,EGFR,R,47.08772548182949,RG,
80183011,TC,RS,1.0,RG,
80183011,DEGFR,RS,-0.146108037194997,RG,
80183011,EGFR,RS,59.772437396350206,RG,
80183011,TC,RM,1.0,RG,
80183011,DEGFR,RM,-0.1474875313895089,RG,
80183011,EGFR,RM,59.675873,RG,
80590311,TC,R,1.0,RG,
80590311,DEGFR,R,-0.2288367739799014,RG,
80590311,EGFR,R,42.41397743110542,RG,
80590311,TC,RS,0.0,RG,
80590311,DEGFR,RS,-0.0775787397254987,RG,
80590311,EGFR,RS,50.73316931509757,RG,
80590311,TC,RM,1.0,RG,
80590311,DEGFR,RM,-0.133411338112571,RG,
80590311,EGFR,RM,47.662376,RG,
80337512,TC,R,1.0,,
80337512,DEGFR,R,-0.1893040294317376,,
80337512,EGFR,R,23.51018314647961,,
80337512,TC,RS,0.0,,
80337512,DEGFR,RS,-0.0260863918886306,,
80337512,EGFR,RS,28.243494635229712,,
80337512,TC,RM,0.0,,
80337512,DEGFR,RM,0.0410513384588833,,
80337512,EGFR,RM,30.190489,,
80695711,TC,R,1.0,,
80695711,DEGFR,R,-0.2572085675534543,,
80695711,EGFR,R,29.711657297861827,,
80695711,TC,RS,0.0,,
80695711,DEGFR,RS,-0.0897317843394237,,
80695711,EGFR,RS,36.41072862642305,,
80695711,TC,RM,0.0,,
80695711,DEGFR,RM,-0.0960219383239746,,
80695711,EGFR,RM,36.159122,,
80156611,TC,R,1.0,RG,
80156611,DEGFR,R,-0.2221046829431914,RG,
80156611,EGFR,R,68.45478790099915,RG,
80156611,TC,RS,0.0,RG,
80156611,DEGFR,RS,-0.0790612004410527,RG,
80156611,EGFR,RS,81.04261436118736,RG,
80156611,TC,RM,0.0,RG,
80156611,DEGFR,RM,-0.0677210200916637,RG,
80156611,EGFR,RM,82.04055,RG,
80241512,TC,R,0.0,RSG,
80241512,DEGFR,R,-0.0920877303533354,RSG,
80241512,EGFR,R,75.35671838067316,RSG,
80241512,TC,RS,0.0,RSG,
80241512,DEGFR,RS,-0.0738458073412208,RSG,
80241512,EGFR,RS,76.87079799067867,RSG,
80241512,TC,RM,0.0,RSG,
80241512,DEGFR,RM,-0.0225101149225809,RSG,
80241512,EGFR,RM,81.13166,RSG,
80337511,TC,R,1.0,RSG,
80337511,DEGFR,R,-0.1367082564866217,RSG,
80337511,EGFR,R,68.20004773755689,RSG,
80337511,TC,RS,0.0,RSG,
80337511,DEGFR,RS,-0.0767889885255855,RSG,
80337511,EGFR,RS,72.93366990647874,RSG,
80337511,TC,RM,0.0,RSG,
80337511,DEGFR,RM,-0.0626038177103936,RSG,
80337511,EGFR,RM,74.0543,RSG,
80406811,TC,R,1.0,RG,
80406811,DEGFR,R,-0.1596330222424802,RG,
80406811,EGFR,R,53.78348657648127,RG,
80406811,TC,RS,1.0,RG,
80406811,DEGFR,RS,-0.1401594834284739,RG,
80406811,EGFR,RS,55.02979306057767,RG,
80406811,TC,RM,0.0,RG,
80406811,DEGFR,RM,-0.0832501649856567,RG,
80406811,EGFR,RM,58.67199,RG,
80578712,TC,R,1.0,,
80578712,DEGFR,R,-0.123282606040309,,
80578712,EGFR,R,44.71258709194424,,
80578712,TC,RS,1.0,,
80578712,DEGFR,RS,-0.1316115111981237,,
80578712,EGFR,RS,44.28781292889569,,
80578712,TC,RM,0.0,,
80578712,DEGFR,RM,-0.0836299073462392,,
80578712,EGFR,RM,46.734875,,
80424112,TC,R,0.0,RSG,
80424112,DEGFR,R,-0.0374744317574123,RSG,
80424112,EGFR,R,49.08880398037197,RSG,
80424112,TC,RS,0.0,RSG,
80424112,DEGFR,RS,-0.079534236501624,RSG,
80424112,EGFR,RS,46.94375393841717,RSG,
80424112,TC,RM,0.0,RSG,
80424112,DEGFR,RM,-0.0301352856205958,RSG,
80424112,EGFR,RM,49.4631,RSG,
80079611,TC,R,0.0,,
80079611,DEGFR,R,0.0690518175057206,,
80079611,EGFR,R,44.90017633524027,,
80079611,TC,RS,0.0,,
80079611,DEGFR,RS,-0.0342943738939832,,
80079611,EGFR,RS,40.5596362964527,,
80079611,TC,RM,0.0,,
80079611,DEGFR,RM,0.0253602890741257,,
80079611,EGFR,RM,43.065132,,
80599911,TC,R,0.0,,
80599911,DEGFR,R,-0.0891230738609167,,
80599911,EGFR,R,74.69190794340483,,
80599911,TC,RS,0.0,,
80599911,DEGFR,RS,-0.0823491565265961,,
80599911,EGFR,RS,75.24736916481912,,
80599911,TC,RM,0.0,,
80599911,DEGFR,RM,-0.035691144989758,,
80599911,EGFR,RM,79.073326,,
80485711,TC,R,1.0,,
80485711,DEGFR,R,-0.1671118720748819,,
80485711,EGFR,R,71.62837900156015,,
80485711,TC,RS,0.0,,
80485711,DEGFR,RS,-0.0918253145951184,,
80485711,EGFR,RS,78.10302294481981,,
80485711,TC,RM,0.0,,
80485711,DEGFR,RM,-0.0297185321186864,,
80485711,EGFR,RM,83.44421,,
80552812,TC,R,0.0,RG,
80552812,DEGFR,R,0.098111030396266,RG,
80552812,EGFR,R,80.16210521892742,RG,
80552812,TC,RS,0.0,RG,
80552812,DEGFR,RS,-0.0431968371661875,RG,
80552812,EGFR,RS,69.84663088686831,RG,
80552812,TC,RM,0.0,RG,
80552812,DEGFR,RM,0.0390907183085402,RG,
80552812,EGFR,RM,75.85362,RG,
80613112,TC,R,0.0,,
80613112,DEGFR,R,-0.0551451074543845,,
80613112,EGFR,R,71.80897183346677,,
80613112,TC,RS,0.0,,
80613112,DEGFR,RS,0.0046301181986751,,
80613112,EGFR,RS,76.35188898309931,,
80613112,TC,RM,0.0,,
80613112,DEGFR,RM,-0.0565723619962993,,
80613112,EGFR,RM,71.7005,,
80003412,TC,R,1.0,,
80003412,DEGFR,R,-0.1739574869389991,,
80003412,EGFR,R,77.64799622773408,,
80003412,TC,RS,0.0,,
80003412,DEGFR,RS,-0.0802446789089829,,
80003412,EGFR,RS,86.4570001825556,,
80003412,TC,RM,0.0,,
80003412,DEGFR,RM,-0.0085935389741938,,
80003412,EGFR,RM,93.19221,,
80053212,TC,R,1.0,,
80053212,DEGFR,R,-0.1038330781822908,,
80053212,EGFR,R,62.73168452723964,,
80053212,TC,RS,0.0,,
80053212,DEGFR,RS,-0.078003320485315,,
80053212,EGFR,RS,64.53976756602795,,
80053212,TC,RM,0.0,,
80053212,DEGFR,RM,0.0106640407017299,,
80053212,EGFR,RM,70.74648,,
80439012,TC,R,0.0,RG,
80439012,DEGFR,R,-0.0703619322729429,RG,
80439012,EGFR,R,72.51176928271045,RG,
80439012,TC,RS,0.0,RG,
80439012,DEGFR,RS,-0.0397614778451265,RG,
80439012,EGFR,RS,74.89860472808013,RG,
80439012,TC,RM,0.0,RG,
80439012,DEGFR,RM,-0.0645744128104967,RG,
80439012,EGFR,RM,72.963196,RG,
80615412,TC,R,0.0,,
80615412,DEGFR,R,0.0841225964887006,,
80615412,EGFR,R,65.04735578932204,,
80615412,TC,RS,0.0,,
80615412,DEGFR,RS,0.0039986017588023,,
80615412,EGFR,RS,60.23991610552814,,
80615412,TC,RM,0.0,,
80615412,DEGFR,RM,-0.0271931330362955,,
80615412,EGFR,RM,58.368412,,
80769611,TC,R,1.0,RSG,
80769611,DEGFR,R,-0.1515118364099267,RSG,
80769611,EGFR,R,61.09114777848527,RSG,
80769611,TC,RS,0.0,RSG,
80769611,DEGFR,RS,-0.0732314278771569,RSG,
80769611,EGFR,RS,66.7273371928447,RSG,
80769611,TC,RM,1.0,RSG,
80769611,DEGFR,RM,-0.1200540860493977,RSG,
80769611,EGFR,RM,63.356106,RSG,
80477212,TC,R,0.0,RSG,
80477212,DEGFR,R,-0.0689388936924642,RSG,
80477212,EGFR,R,60.51897190998982,RSG,
80477212,TC,RS,1.0,RSG,
80477212,DEGFR,RS,-0.1012094234643673,RSG,
80477212,EGFR,RS,58.42138747481612,RSG,
80477212,TC,RM,0.0,RSG,
80477212,DEGFR,RM,-0.0683572622445913,RSG,
80477212,EGFR,RM,60.556778,RSG,
80503512,TC,R,1.0,,
80503512,DEGFR,R,-0.1298784565195735,,
80503512,EGFR,R,58.298143413188576,,
80503512,TC,RS,1.0,,
80503512,DEGFR,RS,-0.1075544527850677,,
80503512,EGFR,RS,59.79385166340046,,
80503512,TC,RM,1.0,,
80503512,DEGFR,RM,-0.1017079139823344,,
80503512,EGFR,RM,60.18557,,
80170811,TC,R,0.0,RG,
80170811,DEGFR,R,0.1407769102833102,RG,
80170811,EGFR,R,55.8980686038822,RG,
80170811,TC,RS,0.0,RG,
80170811,DEGFR,RS,-0.0050418479934863,RG,
80170811,EGFR,RS,48.75294944831917,RG,
80170811,TC,RM,0.0,RG,
80170811,DEGFR,RM,0.0186102730887276,RG,
80170811,EGFR,RM,49.911903,RG,
80686511,TC,R,0.0,RSG,
80686511,DEGFR,R,-0.0185993476128389,RSG,
80686511,EGFR,R,69.67944631948843,RSG,
80686511,TC,RS,1.0,RSG,
80686511,DEGFR,RS,-0.1145525137159881,RSG,
80686511,EGFR,RS,62.86677152616484,RSG,
80686511,TC,RM,0.0,RSG,
80686511,DEGFR,RM,-0.0576745691433758,RSG,
80686511,EGFR,RM,66.905106,RSG,
80056012,TC,R,1.0,RSG,
80056012,DEGFR,R,-0.2836976547084451,RSG,
80056012,EGFR,R,68.04872280269771,RSG,
80056012,TC,RS,1.0,RSG,
80056012,DEGFR,RS,-0.1331828877506464,RSG,
80056012,EGFR,RS,82.34762566368859,RSG,
80056012,TC,RM,1.0,RSG,
80056012,DEGFR,RM,-0.130731201171875,RSG,
80056012,EGFR,RM,82.580536,RSG,
80515611,TC,R,1.0,,
80515611,DEGFR,R,-0.2106114087994275,,
80515611,EGFR,R,60.78292152244408,,
80515611,TC,RS,1.0,,
80515611,DEGFR,RS,-0.1685515707579916,,
80515611,EGFR,RS,64.02152905163464,,
80515611,TC,RM,1.0,,
80515611,DEGFR,RM,-0.1384513161399147,,
80515611,EGFR,RM,66.33925,,
80140911,TC,R,0.0,RG,
80140911,DEGFR,R,-0.0665020672527996,RG,
80140911,EGFR,R,50.40888836834882,RG,
80140911,TC,RS,1.0,RG,
80140911,DEGFR,RS,-0.1341232857307992,RG,
80140911,EGFR,RS,46.75734257053684,RG,
80140911,TC,RM,1.0,RG,
80140911,DEGFR,RM,-0.1138993015995732,RG,
80140911,EGFR,RM,47.849438,RG,
80709412,TC,R,0.0,RSG,
80709412,DEGFR,R,0.1292170678404736,RSG,
80709412,EGFR,R,57.59007045986416,RSG,
80709412,TC,RS,0.0,RSG,
80709412,DEGFR,RS,-0.0270017412647597,RSG,
80709412,EGFR,RS,49.62291119549725,RSG,
80709412,TC,RM,0.0,RSG,
80709412,DEGFR,RM,0.0500527924182368,RSG,
80709412,EGFR,RM,53.552692,RSG,
80089911,TC,R,0.0,,
80089911,DEGFR,R,0.0554059467240771,,
80089911,EGFR,R,54.88110922965201,,
80089911,TC,RS,0.0,,
80089911,DEGFR,RS,-0.0419818761855962,,
80089911,EGFR,RS,49.816942438349,,
80089911,TC,RM,0.0,,
80089911,DEGFR,RM,0.0189366707435021,,
80089911,EGFR,RM,52.984707,,
80344912,TC,R,0.0,RSG,
80344912,DEGFR,R,0.0720186374967392,RSG,
80344912,EGFR,R,63.24909961230762,RSG,
80344912,TC,RS,0.0,RSG,
80344912,DEGFR,RS,-0.0726925839284191,RSG,
80344912,EGFR,RS,54.71113754822327,RSG,
80344912,TC,RM,0.0,RSG,
80344912,DEGFR,RM,-0.0016070220430018,RSG,
80344912,EGFR,RM,58.905186,RSG,
80161312,TC,R,0.0,RSG,
80161312,DEGFR,R,-0.0637115935440663,RSG,
80161312,EGFR,R,49.62328554216448,RSG,
80161312,TC,RS,0.0,RSG,
80161312,DEGFR,RS,-0.0895175800910313,RSG,
80161312,EGFR,RS,48.25556825517534,RSG,
80161312,TC,RM,0.0,RSG,
80161312,DEGFR,RM,-0.0267877398796801,RSG,
80161312,EGFR,RM,51.58025,RSG,
80143311,TC,R,0.0,,
80143311,DEGFR,R,-0.0911594252361158,,
80143311,EGFR,R,49.986231612013626,,
80143311,TC,RS,0.0,,
80143311,DEGFR,RS,-0.0549469037879987,,
80143311,EGFR,RS,51.97792029166007,,
80143311,TC,RM,0.0,,
80143311,DEGFR,RM,-0.0527660023082386,,
80143311,EGFR,RM,52.09787,,
80051911,TC,R,0.0,,
80051911,DEGFR,R,-0.0842807291019968,,
80051911,EGFR,R,48.53312135759417,,
80051911,TC,RS,0.0,,
80051911,DEGFR,RS,-0.0821546385650142,,
80051911,EGFR,RS,48.64580415605425,,
80051911,TC,RM,0.0,,
80051911,DEGFR,RM,-0.0386020012621609,,
80051911,EGFR,RM,50.954094,,
80194811,TC,R,0.0,,
80194811,DEGFR,R,-0.0152450342986842,,
80194811,EGFR,R,51.20725821646842,,
80194811,TC,RS,0.0,,
80194811,DEGFR,RS,-0.0518755869822458,,
80194811,EGFR,RS,49.302469476923214,,
80194811,TC,RM,0.0,,
80194811,DEGFR,RM,-0.0356801106379582,,
80194811,EGFR,RM,50.144634,,
80255512,TC,R,0.0,RSG,
80255512,DEGFR,R,-0.0950378179538036,RSG,
80255512,EGFR,R,53.39276874072559,RSG,
80255512,TC,RS,0.0,RSG,
80255512,DEGFR,RS,-0.0791608234055444,RSG,
80255512,EGFR,RS,54.32951141907288,RSG,
80255512,TC,RM,0.0,RSG,
80255512,DEGFR,RM,-0.0792893878484176,RSG,
80255512,EGFR,RM,54.321926,RSG,
80676412,TC,R,0.0,RSG,
80676412,DEGFR,R,-0.0184182627889969,RSG,
80676412,EGFR,R,45.15275991170614,RSG,
80676412,TC,RS,0.0,RSG,
80676412,DEGFR,RS,-0.0229443424223358,RSG,
80676412,EGFR,RS,44.94456024857255,RSG,
80676412,TC,RM,0.0,RSG,
80676412,DEGFR,RM,-0.0346697931704313,RSG,
80676412,EGFR,RM,44.40519,RSG,
80590212,TC,R,0.0,,
80590212,DEGFR,R,-0.0367476024702587,,
80590212,EGFR,R,62.61140583943318,,
80590212,TC,RS,0.0,,
80590212,DEGFR,RS,-0.0692465445768974,,
80590212,EGFR,RS,60.49897460250167,,
80590212,TC,RM,0.0,,
80590212,DEGFR,RM,-0.0435806274414062,,
80590212,EGFR,RM,62.16726,,
80553512,TC,R,0.0,RG,
80553512,DEGFR,R,0.0337999213318332,RG,
80553512,EGFR,R,59.960395437246326,RG,
80553512,TC,RS,0.0,RG,
80553512,DEGFR,RS,-0.0263305325136306,RG,
80553512,EGFR,RS,56.47282911420943,RG,
80553512,TC,RM,0.0,RG,
80553512,DEGFR,RM,0.032418941629344,RG,
80553512,EGFR,RM,59.8803,RG,
80221112,TC,R,0.0,RG,
80221112,DEGFR,R,0.2474582010340981,RG,
80221112,EGFR,R,64.8678264537731,RG,
80221112,TC,RS,0.0,RG,
80221112,DEGFR,RS,0.0218469589349716,RG,
80221112,EGFR,RS,53.13604186461853,RG,
80221112,TC,RM,0.0,RG,
80221112,DEGFR,RM,0.0745490147517277,RG,
80221112,EGFR,RM,55.87655,RG,
80011212,TC,R,0.0,,
80011212,DEGFR,R,0.0138453044650359,,
80011212,EGFR,R,53.7338011366469,,
80011212,TC,RS,0.0,,
80011212,DEGFR,RS,-0.0452170688928075,,
80011212,EGFR,RS,50.6034953486812,,
80011212,TC,RM,0.0,,
80011212,DEGFR,RM,-0.0327617717239092,,
80011212,EGFR,RM,51.263626,,
80114311,TC,R,0.0,RSG,
80114311,DEGFR,R,-0.0255791535248627,RSG,
80114311,EGFR,R,43.84893809138118,RSG,
80114311,TC,RS,0.0,RSG,
80114311,DEGFR,RS,-0.0773506439483917,RSG,
80114311,EGFR,RS,41.51922102232237,RSG,
80114311,TC,RM,0.0,RSG,
80114311,DEGFR,RM,-0.0749659220377604,RSG,
80114311,EGFR,RM,41.626534,RSG,
80321411,TC,R,1.0,RG,
80321411,DEGFR,R,-0.1606794546316335,RG,
80321411,EGFR,R,45.32330944989179,RG,
80321411,TC,RS,1.0,RG,
80321411,DEGFR,RS,-0.1247895692323183,RG,
80321411,EGFR,RS,47.26136326145481,RG,
80321411,TC,RM,1.0,RG,
80321411,DEGFR,RM,-0.126742610224971,RG,
80321411,EGFR,RM,47.1559,RG,
80156612,TC,R,1.0,RSG,
80156612,DEGFR,R,-0.1219233022479913,RSG,
80156612,EGFR,R,44.78191158535244,RSG,
80156612,TC,RS,0.0,RSG,
80156612,DEGFR,RS,-0.0848882763109071,RSG,
80156612,EGFR,RS,46.67069790814374,RSG,
80156612,TC,RM,1.0,RSG,
80156612,DEGFR,RM,-0.1162023357316559,RSG,
80156612,EGFR,RM,45.07368,RSG,
80282112,TC,R,1.0,,
80282112,DEGFR,R,-0.1971459683713254,,
80282112,EGFR,R,40.14270158143373,,
80282112,TC,RS,1.0,,
80282112,DEGFR,RS,-0.1284964518504099,,
80282112,EGFR,RS,43.5751774074795,,
80282112,TC,RM,1.0,,
80282112,DEGFR,RM,-0.1332172393798828,,
80282112,EGFR,RM,43.339138,,
80058811,TC,R,0.0,,
80058811,DEGFR,R,-0.0224087809355729,,
80058811,EGFR,R,37.14846632444823,,
80058811,TC,RS,0.0,,
80058811,DEGFR,RS,-0.0521710252467915,,
80058811,EGFR,RS,36.01750104062192,,
80058811,TC,RM,0.0,,
80058811,DEGFR,RM,-0.0542917753520764,,
80058811,EGFR,RM,35.936913,,
80638712,TC,R,0.0,,
80638712,DEGFR,R,0.3037516016382592,,
80638712,EGFR,R,35.201293244233,,
80638712,TC,RS,0.0,,
80638712,DEGFR,RS,0.1605105089831041,,
80638712,EGFR,RS,31.33378374254381,,
80638712,TC,RM,0.0,,
80638712,DEGFR,RM,0.1654860178629557,,
80638712,EGFR,RM,31.468122,,
80183911,TC,R,0.0,RSG,
80183911,DEGFR,R,-0.0586242421676381,RSG,
80183911,EGFR,R,31.06540000846794,RSG,
80183911,TC,RS,0.0,RSG,
80183911,DEGFR,RS,-0.0260089340022506,RSG,
80183911,EGFR,RS,32.14170517792573,RSG,
80183911,TC,RM,0.0,RSG,
80183911,DEGFR,RM,-0.0635518738717743,RSG,
80183911,EGFR,RM,30.902788,RSG,
80568811,TC,R,0.0,RSG,
80568811,DEGFR,R,0.2063173189821901,RSG,
80568811,EGFR,R,30.15793297455476,RSG,
80568811,TC,RS,0.0,RSG,
80568811,DEGFR,RS,0.1662626881642384,RSG,
80568811,EGFR,RS,29.15656720410596,RSG,
80568811,TC,RM,0.0,RSG,
80568811,DEGFR,RM,0.1526038360595703,RSG,
80568811,EGFR,RM,28.815096,RSG,
80112312,TC,R,1.0,,
80112312,DEGFR,R,-0.3299498804118402,,
80112312,EGFR,R,52.26390932787646,,
80112312,TC,RS,1.0,,
80112312,DEGFR,RS,-0.1225280841026385,,
80112312,EGFR,RS,68.44280943999419,,
80112312,TC,RM,1.0,,
80112312,DEGFR,RM,-0.1223348959898337,,
80112312,EGFR,RM,68.45788,,
80051912,TC,R,1.0,RSG,
80051912,DEGFR,R,-0.357595647515823,RSG,
80051912,EGFR,R,55.8891786661234,RSG,
80051912,TC,RS,0.0,RSG,
80051912,DEGFR,RS,-0.089175302221672,RSG,
80051912,EGFR,RS,79.24174870671453,RSG,
80051912,TC,RM,0.0,RSG,
80051912,DEGFR,RM,-0.0869684328978089,RSG,
80051912,EGFR,RM,79.43375,RSG,
80124511,TC,R,1.0,,
80124511,DEGFR,R,-0.24893662359826,,
80124511,EGFR,R,63.08932361774616,,
80124511,TC,RS,1.0,,
80124511,DEGFR,RS,-0.1166100004925231,,
80124511,EGFR,RS,74.20475995862806,,
80124511,TC,RM,0.0,,
80124511,DEGFR,RM,-0.0795622326078869,,
80124511,EGFR,RM,77.31677,,
80172512,TC,R,1.0,RSG,
80172512,DEGFR,R,-0.2920605954465208,RSG,
80172512,EGFR,R,41.76842486865527,RSG,
80172512,TC,RS,1.0,RSG,
80172512,DEGFR,RS,-0.1644639198535052,RSG,
80172512,EGFR,RS,49.29662872864319,RSG,
80172512,TC,RM,1.0,RSG,
80172512,DEGFR,RM,-0.1641793978416313,RSG,
80172512,EGFR,RM,49.313416,RSG,
80049211,TC,R,1.0,,
80049211,DEGFR,R,-0.3486156098367327,,
80049211,EGFR,R,33.8719882884899,,
80049211,TC,RS,1.0,,
80049211,DEGFR,RS,-0.1765122370676951,,
80049211,EGFR,RS,42.821363672479855,,
80049211,TC,RM,1.0,,
80049211,DEGFR,RM,-0.1448543988741361,,
80049211,EGFR,RM,44.46757,,
80719412,TC,R,0.0,RG,
80719412,DEGFR,R,0.1244120514786636,RG,
80719412,EGFR,R,80.95766770646378,RG,
80719412,TC,RS,0.0,RG,
80719412,DEGFR,RS,-0.0383919037140167,RG,
80719412,EGFR,RS,69.2357829325908,RG,
80719412,TC,RM,0.0,RG,
80719412,DEGFR,RM,0.0715071360270182,RG,
80719412,EGFR,RM,77.14851,RG,
80116312,TC,R,1.0,,
80116312,DEGFR,R,-0.1514724708534217,,
80116312,EGFR,R,81.45864279807151,,
80116312,TC,RS,0.0,,
80116312,DEGFR,RS,-0.0660639560974396,,
80116312,EGFR,RS,89.6578602146458,,
80116312,TC,RM,0.0,,
80116312,DEGFR,RM,0.0163547992706298,,
80116312,EGFR,RM,97.57006,,
80274412,TC,R,1.0,,
80274412,DEGFR,R,-0.1289438351926145,,
80274412,EGFR,R,65.32921236055391,,
80274412,TC,RS,0.0,,
80274412,DEGFR,RS,-0.0804456858591991,,
80274412,EGFR,RS,68.96657356056006,,
80274412,TC,RM,0.0,,
80274412,DEGFR,RM,-0.0246779378255208,,
80274412,EGFR,RM,73.149155,,
80089312,TC,R,0.0,,
80089312,DEGFR,R,0.0161144488267419,,
80089312,EGFR,R,68.07966807139171,,
80089312,TC,RS,0.0,,
80089312,DEGFR,RS,-0.0389270810682125,,
80089312,EGFR,RS,64.39188556842976,,
80089312,TC,RM,0.0,,
80089312,DEGFR,RM,0.013214111328125,,
80089312,EGFR,RM,67.885345,,
80036112,TC,R,0.0,,
80036112,DEGFR,R,0.0515128721015562,,
80036112,EGFR,R,68.34833668660116,,
80036112,TC,RS,0.0,,
80036112,DEGFR,RS,-0.0636706309275584,,
80036112,EGFR,RS,60.8614089897087,,
80036112,TC,RM,0.0,,
80036112,DEGFR,RM,0.0794286874624399,,
80036112,EGFR,RM,70.162865,,
80399912,TC,R,0.0,RG,
80399912,DEGFR,R,0.2297268745907662,RG,
80399912,EGFR,R,67.63497810249214,RG,
80399912,TC,RS,0.0,RG,
80399912,DEGFR,RS,0.0508648915333791,RG,
