ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum
PLS,Exp2,TG,22.7531303143949,0.843137238369858,0.64705878546713,0.843137238369858,1.49019602383699
NN,Exp2,TG,55.7347519709325,0.849999985833334,0.833333298611112,0.849999985833334,1.68333328444445
