ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp2,TS,23.1050422342466,0.70873786407767,0.0909090909090909,1,1.09090909090909,9,na,na,103,9,0,0
NN,Exp2,TS,10.5607416551495,0.844660194174757,0.515151515151515,1,1.51515151515152,9,true,false,103,2,55,80
