ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum,NumPLSComp,PolynomialMode,RecurrentMode,Num_UCD_CD,NumInputs,numBasis,beta
PLS,Exp2,TR,30.3749231721047,0.606498194945848,0.043859649122807,1,1.04385964912281,9,na,na,277,9,0,0
NN,Exp2,TR,15.199757325919,0.877256317689531,0.701754385964912,1,1.70175438596491,9,true,false,277,2,55,80
