ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum
PLS,Exp2,TR,13.6088925584358,0.692028982999895,0.307017541166513,0.692028982999895,0.999046524166408
NN,Exp2,TR,13.0215305600872,0.828571416734694,0.615384591715977,0.828571416734694,1.44395600845067
