ModelType,InputData,Treatment,RMSE,ACC,SE,SP,Sum
PLS,Exp2,TS,9.09609092953287,0.796116497125083,0.424242411386594,0.796116497125083,1.22035890851168
NN,Exp2,TS,27.8975383410962,0.849056587753649,0.611111077160496,0.849056587753649,1.46016766491415
